name,water_parameters,fish_group,compatibility_with_crabs,temperature,pelvic_region,behaviour,compatibility_with_fish,tank_size,breeding,visual_effect,compatibility_with_shrimps,origin,diet,vegetation_possible,compatibility_with_snails_shells,compatibility_with_dwarf_crayfish,final_size,level_of_difficulty,characteristics,compatibility_with_large_crayfish,life_expectancy
Two spot predatory tetra - Exodon paradoxus,soft to medium hard,Tetra,no,25-30 °C,center,active,no,200 l (ca. 100cm),hard,interesting behaviour,socialization not possible,South America,carnivore - meat eater,yes,no,no,,3 - difficult,fish of prey,no,5-10 years
Half-beaked pike - Dermogenys pusillus,brackish water,Spikefish,no,18-28 °C,top,calm,conditional (see description),100 l (ca. 80cm),medium,interesting body shape,with shrimp 4-6 cm size,Asia,carnivore - meat eater,conditional (see description),yes,no,4-8 cm,2 - normal,interesting parental care,no,
Microrasbora dwarf rasbora - Boraras micros,soft to medium hard,Beardies,no,24-28 °C,everywhere,active,conditional (see description),54 l (ca. 60cm),medium,interesting behaviour,"with dwarf shrimp, offspring may be eaten",Asia,omnivorous - omnivorous,yes,yes,no,1-4 cm,2 - normal,dynamic group behaviour,no,
Zebrafish gold veil DNZ xl - Brachydanio rerio,soft to hard,Beardies,no,18-28 °C,center,active,"yes, with peaceful fish",54 l (ca. 60cm),medium,especially colorful,"with dwarf shrimp, offspring may be eaten",Asia,omnivorous - omnivorous,yes,yes,conditional (see description),4-8 cm,2 - normal,dynamic group behaviour,no,5-10 years
Reddish Dwarf Rasbora lg - Microrasbora rubescens,medium hard to hard,Beardies,no,20-25 °C,everywhere,normal,conditional (see description),54 l (ca. 60cm),medium,swarm behaviour,"with dwarf shrimp, offspring may be eaten",Asia,omnivorous - omnivorous,yes,yes,no,1-4 cm,2 - normal,dynamic group behaviour,no,
Slanting - Nannostomus unifasciata,soft to medium hard,Tetra,no,22-25 °C,top,calm,conditional (see description),54 l (ca. 60cm),hard,interesting behaviour,"with dwarf shrimp, offspring may be eaten",South America,carnivore - meat eater,yes,yes,no,4-8 cm,2 - normal,dynamic group behaviour,no,3-5 years
Three-banded Tetra - Nannostomus trifasciatus,soft water,Tetra,no,22-25 °C,center,calm,conditional (see description),100 l (ca. 80cm),hard,especially colorful,with shrimp 4-6 cm size,South America,carnivore - meat eater,yes,yes,no,4-8 cm,2 - normal,dynamic group behaviour,no,5-10 years
Red Chameleon Tetra - Hemigrammus coeruleus,soft to medium hard,Tetra,no,25-30 °C,center,active,"yes, with peaceful fish",200 l (ca. 100cm),hard,especially colorful,with shrimp 4-6 cm size,South America,omnivorous - omnivorous,yes,yes,no,,,interesting color,no,
Red Piranha - Serrasalmus nattereri,soft to medium hard,Tetra,,25-30 °C,everywhere,,,over 1000l,medium,swarm behaviour,socialization not possible,South America,omnivorous - omnivorous,yes,yes,no,> 12cm,4 - special,,,
Tucano Tetra - Tucanoichthys tucano,soft to medium hard,Tetra,no,24-28 °C,center,active,"yes, with peaceful fish",54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,no,1-4 cm,1 - easy,,no,
Purplehead Barb - Pethia nigrofasciata DNZ,soft to medium hard,Barbs,,20-25 °C,center,,,100 l (ca. 80cm),simply,especially colorful,with shrimp 4-6 cm size,Asia,omnivorous - omnivorous,conditional (see description),yes,no,4-8 cm,2 - normal,,,
Red-blue Colombian - Hyphessobrycon columbianus,soft to medium hard,Tetra,,25-30 °C,top,,,200 l (ca. 100cm),medium,swarm behaviour,"with dwarf shrimp, offspring is eaten",South America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,2 - normal,,,
Fathead Disk Tetra - Metynnis hypsause,soft to medium hard,Tetra,,25-30 °C,center,,,400/450 l (ca. 150cm),simply,swarm behaviour,socialization not possible,South America,herbivore - plant eater,no,yes,yes,> 12cm,4 - special,,,
Congo Tetra med - Phenacogrammus interruptus,soft to hard,Tetra,,25-30 °C,center,,,200 l (ca. 100cm),simply,especially colorful,with shrimp 4-6 cm size,Africa,omnivorous - omnivorous,yes,yes,conditional (see description),8-12 cm,1 - easy,,,
Gold Tetra - Hemigrammus rodwayi,soft water,Tetra,,20-25 °C,center,,,54 l (ca. 60cm),simply,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,2 - normal,,,
Odessa barb - Puntius padamya,soft to hard,Barbs,,20-25 °C,center,,,100 l (ca. 80cm),simply,especially colorful,socialization not possible,Asia,omnivorous - omnivorous,conditional (see description),yes,conditional (see description),4-8 cm,1 - easy,,,
Magnificent Algae Eater - Panda suckling barb Garra flavatra,soft to medium hard,Barbs,,20-25 °C,below,,,200 l (ca. 100cm),medium,swarm behaviour,with shrimp 4-6 cm size,Asia,limnivorous - growth eater (algae),conditional (see description),yes,conditional (see description),8-12 cm,2 - normal,,,
Redfin Tetra - Aphyocharax anisitsi,soft to hard,Tetra,,20-25 °C,top,,,100 l (ca. 80cm),medium,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
Filigree Rainbowfish - Iriatherina werneri,soft water,Spikefish,,25-30 °C,top,,,54 l (ca. 60cm),medium,swarm behaviour,"with dwarf shrimp, offspring may be eaten",Oceania,carnivore - meat eater,yes,yes,conditional (see description),4-8 cm,2 - normal,,,
Blue Peru Tetra - Knodus borki,soft to medium hard,Tetra,,25-30 °C,center,,,100 l (ca. 80cm),medium,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
Amapa Glowlight Tetra - Hyphessobrycon amapaensis,soft to medium hard,Tetra,,25-30 °C,center,,,54 l (ca. 60cm),medium,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,yes,1-4 cm,2 - normal,,,
Black-banded tetra - Hyphessobrycon melanostichos,soft to medium hard,Tetra,,25-30 °C,center,,,54 l (ca. 60cm),medium,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,yes,1-4 cm,2 - normal,,,
Golden Phantom Tetra - Megalomphodus roseus,soft to medium hard,Tetra,,25-30 °C,center,,,54 l (ca. 60cm),hard,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,conditional (see description),4-8 cm,2 - normal,,,
Dwarf rasbora - Boraras maculatus,soft to medium hard,Beardies,,24-28 °C,center,,,54 l (ca. 60cm),hard,swarm behaviour,"with dwarf shrimp, offspring is not eaten",Asia,omnivorous - omnivorous,yes,yes,no,1-4 cm,2 - normal,,,
Red Neon - Paracheirodon axelrodi - DNZ,soft to medium hard,Tetra,,25-30 °C,center,,,54 l (ca. 60cm),hard,especially colorful,"with dwarf shrimp, offspring is eaten",South America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
Strawberry rasbora - Boraras naevus,soft to medium hard,Beardies,,20-25 °C,center,,,54 l (ca. 60cm),medium,swarm behaviour,"with dwarf shrimp, offspring is not eaten",Asia,omnivorous - omnivorous,yes,yes,conditional (see description),1-4 cm,2 - normal,,,
Green Neon Dwarf Rasbora - Microdevario kubotai,soft to medium hard,Beardies,,20-25 °C,center,,,54 l (ca. 60cm),medium,especially colorful,"with dwarf shrimp, offspring is not eaten",Asia,omnivorous - omnivorous,yes,yes,no,1-4 cm,2 - normal,,,
L102 - Snowball Loricariidae - Hypancistrus cf. inspector - DNZ,soft to hard,Catfish,,25-30 °C,below,,,250/300 l (ca. 120cm),simply,especially colorful,"with dwarf shrimp, offspring is not eaten",South America,omnivorous - omnivorous,yes,yes,no,> 12cm,2 - normal,,,
Angel Catfish - Pimelodus pictus - 5cm,soft to medium hard,Catfish,,25-30 °C,below,,,250/300 l (ca. 120cm),hard,swarm behaviour,socialization not possible,South America,omnivorous - omnivorous,yes,conditional (see description),no,,2 - normal,,,
Gold sucking loach - Gyrinocheilus aymonieri,soft to hard,Loaches,,18-28 °C,below,,,400/450 l (ca. 150cm),hard,forms precincts,"with dwarf shrimp, offspring is not eaten",Asia,omnivorous - omnivorous,yes,yes,no,> 12cm,2 - normal,,,
Catfish - Ancistrus sp.,soft to hard,Catfish,,18-28 °C,below,,,100 l (ca. 80cm),simply,forms precincts,"with dwarf shrimp, offspring is not eaten",South America,limnivorous - growth eater (algae),yes,yes,conditional (see description),> 12cm,1 - easy,,,
Black Thorn Eye - Pangio pangia,soft to medium hard,Loaches,,25-30 °C,below,,,54 l (ca. 60cm),hard,especially colorful,"with dwarf shrimp, offspring may be eaten",Asia,omnivorous - omnivorous,yes,yes,no,8-12 cm,2 - normal,,,
Web Loach - Botia lohachata,soft to medium hard,Loaches,,25-30 °C,below,,,250/300 l (ca. 120cm),hard,swarm behaviour,socialization not possible,Asia,molluskivor - snail eater,yes,no,no,> 12cm,1 - easy,,,
Corydoras julii (trilineatus),soft to medium hard,Catfish,,20-25 °C,below,,,100 l (ca. 80cm),medium,swarm behaviour,"with dwarf shrimp, offspring is not eaten",South America,carnivore - meat eater,yes,yes,conditional (see description),4-8 cm,2 - normal,,,
Marbled Mailed Catfish - Corydoras paleatus - DNZ,soft to medium hard,Catfish,,20-25 °C,below,,,100 l (ca. 80cm),hard,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,no,4-8 cm,2 - normal,,,
Corydoras aeneus - DNZ,soft to medium hard,Catfish,,20-25 °C,below,,,100 l (ca. 80cm),medium,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,conditional (see description),4-8 cm,1 - easy,,,
Indian glass catfish - Kryptopterus vitreolus (bicirrhis),soft to medium hard,Catfish,,25-30 °C,center,,,200 l (ca. 100cm),hard,swarm behaviour,with shrimp > 6 cm ,Asia,omnivorous - omnivorous,yes,yes,no,4-8 cm,4 - special,,,
Checkerboard Loach - Yasuhikotakia sidthmunki,soft to medium hard,Loaches,,25-30 °C,below,,,100 l (ca. 80cm),hard,swarm behaviour,socialization not possible,Asia,molluskivor - snail eater,conditional (see description),no,no,4-8 cm,1 - easy,,,
Panda armored catfish - Corydoras panda - DNZ,soft to medium hard,Catfish,,25-30 °C,below,,,54 l (ca. 60cm),medium,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,no,4-8 cm,1 - easy,,,
Golden Ringed Goby - Brachygobius xanthozona,soft to hard,Gobies,,25-30 °C,below,,,54 l (ca. 60cm),medium,forms precincts,"with dwarf shrimp, offspring may be eaten",Asia,carnivore - meat eater,yes,yes,no,4-8 cm,2 - normal,,,
Dwarf armored catfish - Corydoras pygmeus,soft to medium hard,Catfish,,20-25 °C,center,,,54 l (ca. 60cm),simply,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,carnivore - meat eater,yes,yes,no,1-4 cm,1 - easy,,,
Saddleback Mailed Catfish - Scleromystax barbatus - DNZ,soft to medium hard,Catfish,,20-25 °C,below,,,250/300 l (ca. 120cm),medium,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,carnivore - meat eater,conditional (see description),yes,no,8-12 cm,2 - normal,,,
"Spotted armored catfish ""albino"" - Corydoras paleatus ""DNZ""",medium hard water,Catfish,,20-25 °C,below,,,100 l (ca. 80cm),simply,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,no,4-8 cm,1 - easy,,,
"Painted callous catfish ""albino"" - Hoplosternum thoracatum",soft to hard,Catfish,,18-28 °C,below,,,400/450 l (ca. 150cm),medium,forms territories (when spawning),with shrimp > 6 cm ,South America,omnivorous - omnivorous,conditional (see description),yes,no,> 12cm,2 - normal,,,
Silverlined Armored Catfish - Corydoras agassizii - DNZ,soft to medium hard,Catfish,,25-30 °C,below,,,54 l (ca. 60cm),medium,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,conditional (see description),4-8 cm,2 - normal,,,
Orange Laser Mailed Catfish - Corydoras spec. CW23 - DNZ,soft to medium hard,Catfish,,25-30 °C,below,,,54 l (ca. 60cm),medium,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,conditional (see description),4-8 cm,2 - normal,,,
Shield catfish 5-6 cm - Hypostomus plecostomus,soft to hard,Catfish,,25-30 °C,below,,,over 1000l,hard,forms precincts,"with dwarf shrimp, offspring is not eaten",South America,omnivorous - omnivorous,conditional (see description),yes,conditional (see description),> 12cm,1 - easy,,,
Green Laser Mailed Catfish DNZ - Corydoras spec. neon green stripe,soft to medium hard,Catfish,no,22-25 °C,below,active,"yes, with peaceful fish",100 l (ca. 80cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,no,4-8 cm,2 - normal,interesting color,no,5-10 years
Neon blue goby - Stiphodon atropurpureus,soft to medium hard,Gobies,,18-28 °C,below,,,54 l (ca. 60cm),hard,especially colorful,with shrimp > 6 cm ,Asia,limnivorous - growth eater (algae),yes,conditional (see description),no,4-8 cm,4 - special,,,
Gold Laser Mailed Catfish DNZ - Corydoras spec. CW010,soft to medium hard,Catfish,,25-30 °C,below,,,54 l (ca. 60cm),medium,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,conditional (see description),4-8 cm,2 - normal,,,
Honeycomb Catfish - Glyptoperichthys gibbiceps - L165,soft to hard,Catfish,,25-30 °C,below,,,over 1000l,hard,forms precincts,"with dwarf shrimp, offspring is not eaten",South America,limnivorous - growth eater (algae),conditional (see description),yes,yes,> 12cm,1 - easy,,,
L200 Yellow Phantom Catfish - Hemiancistrus subviridis - 5-8 cm,soft to medium hard,Catfish,,25-30 °C,below,,,400/450 l (ca. 150cm),medium,forms precincts,"with dwarf shrimp, offspring is not eaten",South America,omnivorous - omnivorous,conditional (see description),yes,yes,> 12cm,3 - difficult,,,
L403 - Panoqolus sp. - DNZ 4-5 cm,soft water,Catfish,,25-30 °C,below,,,200 l (ca. 100cm),hard,forms precincts,with shrimp 4-6 cm size,South America,omnivorous - omnivorous,conditional (see description),yes,no,8-12 cm,2 - normal,,,
L66 King Tiger Pleco - Hypancistrus spec. - DNZ 6-7 cm,soft to medium hard,Catfish,,25-30 °C,below,,,200 l (ca. 100cm),medium,especially colorful,"with dwarf shrimp, offspring is not eaten",South America,omnivorous - omnivorous,conditional (see description),yes,no,> 12cm,2 - normal,,,
"L333 - Bengal loricariid ""special"" - Hypancistrus sp. DNZ 5cm",soft to medium hard,Catfish,,25-30 °C,below,,,200 l (ca. 100cm),simply,especially colorful,"with dwarf shrimp, offspring is not eaten",South America,omnivorous - omnivorous,conditional (see description),yes,no,> 12cm,1 - easy,,,
Napo armored catfish - Corydoras napoensis,soft to medium hard,Catfish,,20-25 °C,below,,,54 l (ca. 60cm),medium,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,carnivore - meat eater,conditional (see description),yes,no,4-8 cm,2 - normal,,,
Butterfly Pleco - L168 - Zonancistrus brachyurus - DNZ,soft to medium hard,Catfish,,20-25 °C,below,,,200 l (ca. 100cm),medium,especially colorful,with shrimp 4-6 cm size,South America,omnivorous - omnivorous,conditional (see description),yes,no,8-12 cm,2 - normal,,,
Amazon billed catfish - Farlowella acus,soft water,Catfish,,25-30 °C,below,,,100 l (ca. 80cm),hard,forms precincts,"with dwarf shrimp, offspring is not eaten",South America,limnivorous - growth eater (algae),yes,yes,no,> 12cm,3 - difficult,,,
Sand ́s Panzerwels DNZ ​​- Corydoras davidsandsi,soft to medium hard,Catfish,,25-30 °C,below,,,54 l (ca. 60cm),medium,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,conditional (see description),4-8 cm,2 - normal,,,
L038 - Banded dwarf shield catfish - Peckoltia spec.,soft to medium hard,Catfish,,25-30 °C,below,,,100 l (ca. 80cm),medium,especially colorful,"with dwarf shrimp, offspring is not eaten",South America,omnivorous - omnivorous,conditional (see description),yes,no,8-12 cm,1 - easy,,,
L136 - Demini Angelfish - Hypancistrus sp. DNZ 5cm,soft to medium hard,Catfish,,25-30 °C,below,,,100 l (ca. 80cm),simply,especially colorful,"with dwarf shrimp, offspring is not eaten",South America,omnivorous - omnivorous,conditional (see description),yes,no,> 12cm,1 - easy,,,
L129 Colombian Zebra Catfish - Hypancistrus debilittera,soft to medium hard,Catfish,no,22-28 °C,below,calm,"yes, with peaceful fish",100 l (ca. 80cm),medium,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,no,4-8 cm,2 - normal,interesting color,no,3-5 years
Sucking Loach - Gyrinocheilus aymonieri,soft to hard,Loaches,,20-25 °C,below,,,400/450 l (ca. 150cm),hard,forms precincts,"with dwarf shrimp, offspring is not eaten",Asia,limnivorous - growth eater (algae),yes,yes,yes,> 12cm,4 - special,,,
Reddish Lipstick Goby - Sicyopus rubicundus,soft to medium hard,Gobies,no,22-25 °C,below,active,conditional (see description),100 l (ca. 80cm),medium,interesting behaviour,socialization not possible,Asia,carnivore - meat eater,conditional (see description),yes,no,4-8 cm,4 - special,dynamic group behaviour,no,
Eye line armored catfish - Corydoras schwartzi,soft to medium hard,Catfish,,20-25 °C,below,,,54 l (ca. 60cm),medium,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,carnivore - meat eater,conditional (see description),yes,no,4-8 cm,2 - normal,,,
Mouthbrooding witch catfish - Loricaria simillima,soft to medium hard,Catfish,,25-30 °C,below,,,250/300 l (ca. 120cm),medium,forms territories (when spawning),"with dwarf shrimp, offspring is not eaten",South America,omnivorous - omnivorous,yes,yes,no,> 12cm,2 - normal,,,
L204 Striped loricariid - Panaqolus albivermis - 10 cm,medium hard water,Catfish,,25-30 °C,below,,,200 l (ca. 100cm),hard,forms precincts,"with dwarf shrimp, offspring is not eaten",South America,omnivorous - omnivorous,conditional (see description),yes,no,> 12cm,4 - special,,,
Redfin Loach - Yasuhikotakia (Botia) modesta,soft to hard,Loaches,,20-25 °C,below,,,250/300 l (ca. 120cm),hard,swarm behaviour,socialization not possible,Asia,molluskivor - snail eater,yes,no,no,> 12cm,1 - easy,,,
Mountain catfish - Chaetostoma thomasi,soft to medium hard,Catfish,no,20-25 °C,below,normal,"yes, with peaceful fish",100 l (ca. 80cm),hard,interesting body shape,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,conditional (see description),yes,no,8-12 cm,1 - easy,dynamic group behaviour,no,
Zebra Loach - Botia striata,soft to hard,Loaches,,20-25 °C,below,,,200 l (ca. 100cm),hard,swarm behaviour,socialization not possible,Asia,molluskivor - snail eater,yes,no,no,8-12 cm,2 - normal,,,
Red witch catfish - Rineloricaria sp. - 4cm - DNZ,soft to medium hard,Catfish,,25-30 °C,below,,,100 l (ca. 80cm),medium,especially colorful,"with dwarf shrimp, offspring is not eaten",South America,omnivorous - omnivorous,yes,yes,conditional (see description),8-12 cm,1 - easy,,,
L243 Banded Orinoco Catfish - Ancistomus wernekei 10-12cm,soft to medium hard,Catfish,,25-30 °C,below,,,250/300 l (ca. 120cm),hard,especially colorful,"with dwarf shrimp, offspring is not eaten",South America,omnivorous - omnivorous,conditional (see description),yes,no,> 12cm,1 - easy,,,
L184 / L107 Brilliant catfish - Ancistrus sp. - DNZ 5-6cm,soft water,Catfish,,25-30 °C,below,,,200 l (ca. 100cm),hard,especially colorful,"with dwarf shrimp, offspring is not eaten",South America,omnivorous - omnivorous,conditional (see description),yes,no,> 12cm,3 - difficult,,,
L236 Lined Loricariidae - Hypancistrus sp. 5cm,soft to medium hard,Catfish,,25-30 °C,below,,,100 l (ca. 80cm),medium,especially colorful,"with dwarf shrimp, offspring is not eaten",South America,omnivorous - omnivorous,conditional (see description),yes,no,8-12 cm,2 - normal,,,
L287 - Ocelot Loricariidae - Hypancistrus sp. DNZ 4-5cm,soft to medium hard,Catfish,,25-30 °C,below,,,200 l (ca. 100cm),medium,especially colorful,"with dwarf shrimp, offspring is not eaten",South America,omnivorous - omnivorous,conditional (see description),yes,conditional (see description),> 12cm,2 - normal,,,
L399 - Belo Monte loricariid Hypancistrus sp. DNZ 5-7cm,soft to medium hard,Catfish,,25-30 °C,below,,,200 l (ca. 100cm),simply,especially colorful,"with dwarf shrimp, offspring is not eaten",South America,omnivorous - omnivorous,conditional (see description),yes,no,> 12cm,1 - easy,,,
Round-headed flounder catfish - Planiloricaria cryptodon 8cm,soft to medium hard,Catfish,,25-30 °C,below,,,250/300 l (ca. 120cm),medium,especially colorful,"with dwarf shrimp, offspring is not eaten",South America,omnivorous - omnivorous,conditional (see description),yes,no,> 12cm,2 - normal,,,
Guinea fowl catfish - Synodontis angelicus 6cm,soft to medium hard,Catfish,,25-30 °C,below,,,over 1000l,hard,especially colorful,socialization not possible,Africa,omnivorous - omnivorous,yes,no,no,> 12cm,4 - special,,,
L387 - dwarf shield catfish - Ancistomus sp. DNZ 4-6 cm,soft to medium hard,Catfish,,25-30 °C,below,,,200 l (ca. 100cm),medium,especially colorful,"with dwarf shrimp, offspring is not eaten",South America,omnivorous - omnivorous,conditional (see description),yes,no,> 12cm,2 - normal,,,
Miguelito Armored Catfish - Corydoras virginiae,soft to medium hard,Catfish,,25-30 °C,below,,,100 l (ca. 80cm),hard,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,no,4-8 cm,1 - easy,,,
L183 White fringed Ancistrus - Ancistrus sp. - DNZ 5cm,soft to medium hard,Catfish,,25-30 °C,below,,,200 l (ca. 100cm),medium,forms territories (when spawning),"with dwarf shrimp, offspring is not eaten",South America,omnivorous - omnivorous,conditional (see description),yes,no,> 12cm,2 - normal,,,
Red striped fire eel - Mastacembelus erythrotaenia,soft to medium hard,Spiny eels,,25-30 °C,below,,,600 l (ca. 180cm),medium,especially colorful,socialization not possible,Asia,carnivore - meat eater,conditional (see description),conditional (see description),no,> 12cm,4 - special,,,
Torpedo callous catfish - Dianema longibarbis 8-10 cm,soft to medium hard,Catfish,,20-25 °C,below,,,200 l (ca. 100cm),hard,swarm behaviour,"with dwarf shrimp, offspring is not eaten",South America,omnivorous - omnivorous,yes,yes,no,8-12 cm,2 - normal,,,
Blackfin Mailed Catfish - Corydoras leucomelas,soft to medium hard,Catfish,,20-25 °C,below,,,100 l (ca. 80cm),hard,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,no,4-8 cm,2 - normal,,,
Witch catfish 10-12 cm - Rineloricaria fallax,soft to medium hard,Catfish,,25-30 °C,below,,,100 l (ca. 80cm),medium,forms precincts,"with dwarf shrimp, offspring is not eaten",South America,omnivorous - omnivorous,yes,yes,no,8-12 cm,2 - normal,,,
Streamlined Armored Catfish - Corydoras arcuatus,soft to medium hard,Catfish,,20-25 °C,below,,,100 l (ca. 80cm),hard,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,no,4-8 cm,2 - normal,,,
L18 - Golden Nugget - Baryancistrus xanthellus - 6-8cm,soft water,Catfish,,18-28 °C,below,,,400/450 l (ca. 150cm),hard,especially colorful,"with dwarf shrimp, offspring is not eaten",South America,limnivorous - growth eater (algae),conditional (see description),yes,no,> 12cm,2 - normal,,,
Panda loach - Protomyzon pachychilus,soft water,Loaches,,15-20 °C,below,,,54 l (ca. 60cm),hard,especially colorful,"with dwarf shrimp, offspring is not eaten",Asia,limnivorous - growth eater (algae),yes,yes,no,4-8 cm,3 - difficult,,,
L 028 Angel pleco - Hypancistrus spec. DNZ,soft to medium hard,Catfish,,25-30 °C,below,,,200 l (ca. 100cm),medium,forms territories (when spawning),"with dwarf shrimp, offspring is not eaten",South America,omnivorous - omnivorous,conditional (see description),yes,no,8-12 cm,2 - normal,,,
Miniature Shark - Hexanematichthys (Arius) seemani,brackish water,Catfish,,18-28 °C,center,,,over 1000l,hard,especially colorful,socialization not possible,Central America,carnivore - meat eater,conditional (see description),conditional (see description),no,> 12cm,4 - special,,,
Queen Arabesque Pleco - L260 - Hypancistrus sp. DNZ,soft to medium hard,Catfish,,25-30 °C,below,,,100 l (ca. 80cm),simply,especially colorful,"with dwarf shrimp, offspring is not eaten",South America,limnivorous - growth eater (algae),conditional (see description),yes,no,8-12 cm,1 - easy,,,
Corydoras trilineatus - Corydoras trilineatus,soft to medium hard,Catfish,,25-30 °C,below,,,54 l (ca. 60cm),medium,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,conditional (see description),4-8 cm,2 - normal,,,
Emperor clown loach - Botia udomrithruji,soft to hard,Loaches,,25-30 °C,below,,,200 l (ca. 100cm),hard,swarm behaviour,socialization not possible,Asia,molluskivor - snail eater,yes,no,no,8-12 cm,1 - easy,,,
Jaguar / Magnificent Loach - Yasuhikotakia splendida - 4-6cm,soft water,Loaches,,20-25 °C,below,,,400/450 l (ca. 150cm),hard,especially colorful,socialization not possible,Asia,molluskivor - snail eater,conditional (see description),no,no,8-12 cm,4 - special,,,
L181 Spotted Catfish - Ancistrus sp. - DNZ 4cm,soft to medium hard,Catfish,,25-30 °C,below,,,400/450 l (ca. 150cm),medium,forms territories (when spawning),"with dwarf shrimp, offspring is not eaten",South America,omnivorous - omnivorous,conditional (see description),yes,no,> 12cm,2 - normal,,,
L316 - Jari's zebra catfish Hypancistrus sp. DNZ 4-6 cm,soft to medium hard,Catfish,,25-30 °C,below,,,100 l (ca. 80cm),medium,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,no,8-12 cm,1 - easy,,,
Yellow-banded Catfish - Synodontis flavitaeniatus,soft to medium hard,Catfish,,25-30 °C,below,,,100 l (ca. 80cm),hard,especially colorful,socialization not possible,Africa,omnivorous - omnivorous,yes,yes,no,> 12cm,2 - normal,,,
Glorious feather beard catfish - Synodontis decorus 6cm,soft to hard,Catfish,,25-30 °C,below,,,200 l (ca. 100cm),hard,especially colorful,socialization not possible,Africa,omnivorous - omnivorous,yes,yes,no,> 12cm,2 - normal,,,
Goldbeard Sturgeon Catfish - Sturisoma aureum,soft water,Catfish,,25-30 °C,below,,,200 l (ca. 100cm),hard,,"with dwarf shrimp, offspring may be eaten",South America,limnivorous - growth eater (algae),yes,yes,no,> 12cm,2 - normal,,,
Horsehead Loach - Acanthopsis dialuzona,soft to medium hard,Loaches,,20-25 °C,below,,,250/300 l (ca. 120cm),hard,,"with dwarf shrimp, offspring may be eaten",Asia,omnivorous - omnivorous,yes,conditional (see description),no,8-12 cm,2 - normal,,,
Orange neon goby - Stiphodon ornatus 3-4cm,soft water,Gobies,,20-25 °C,below,,,54 l (ca. 60cm),hard,especially colorful,with shrimp > 6 cm ,Asia,limnivorous - growth eater (algae),yes,yes,no,4-8 cm,3 - difficult,,,
L114 - Leopard Cactus Catfish - Pseudacanthicus cf. leopardus - 4-6cm,soft to hard,Catfish,,25-30 °C,below,,,over 1000l,medium,forms precincts,socialization not possible,South America,carnivore - meat eater,conditional (see description),yes,no,> 12cm,4 - special,,,
L177 - Baryancistrus xanthellus - 6-8cm,soft to hard,Catfish,,25-30 °C,below,,,400/450 l (ca. 150cm),hard,forms precincts,"with dwarf shrimp, offspring is not eaten",South America,limnivorous - growth eater (algae),no,yes,yes,> 12cm,2 - normal,,,
L14 - Sun Catfish - Scobinancistrus cf. aureatus - 8cm,,Catfish,,25-30 °C,below,,,400/450 l (ca. 150cm),hard,forms precincts,socialization not possible,South America,omnivorous - omnivorous,yes,no,no,> 12cm,2 - normal,,,
